Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
SOLV,Fortress,79.02,9.1,Healthcare,1.58,8.27,7.82,19.25,1.5,2.65,13.71
VALE,Fortress,13.26,10.12,Basic Materials,1.56,11.95,32.32,42.18,1.237,6.08,56.74
AMGN,Fortress,327.64,25.34,Healthcare,1.53,11.29,34.15,28.87,1.28,2.46,176.43
UMC,Fortress,7.84,14.52,Technology,1.52,12.16,18.7,27.27,2.344,34.98,19.74
SSL,Fortress,6.66,10.57,Basic Materials,1.46,7.45,16.08,17.97,1.874,2.32,4.25
ENR,Fortress,19.93,6.0,Industrials,1.41,11.65,16.15,13.53,2.112,2.84,1.37
ET,Fortress,16.59,13.27,Energy,1.38,9.08,10.79,10.95,1.405,3.27,56.96
WYNN,Fortress,122.57,27.18,Consumer Cyclical,1.38,11.64,16.93,5.65,1.757,1.93,12.74
SBLK,Fortress,19.37,41.21,Industrials,1.33,10.78,14.1,37.16,1.725,4.28,2.21
GM,Fortress,80.98,15.45,Consumer Cyclical,1.32,5.1,5.67,6.54,1.229,11.07,77.1
HOG,Fortress,20.64,4.91,Consumer Cyclical,1.31,6.58,36.56,13.15,2.515,17.82,2.51
TCOM,Fortress,74.49,20.13,Consumer Cyclical,1.22,11.12,30.4,13.53,1.485,10.8,48.69
OGN,Fortress,7.24,3.79,Healthcare,1.17,12.78,23.1,25.6,1.754,2.55,1.88
ACHC,Fortress,14.29,12.32,Healthcare,1.16,8.52,14.04,17.48,1.444,3.94,1.32
PAGS,Fortress,9.67,7.27,Technology,1.11,20.32,38.37,30.23,1.42,1.64,2.82
PLTK,Fortress,3.98,16.58,Communication Services,1.09,14.14,19.37,19.85,1.413,2.81,1.5
IRDM,Fortress,17.76,15.72,Communication Services,0.94,8.03,30.88,13.15,2.673,2.2,1.88
AROC,Fortress,26.63,17.64,Energy,0.85,9.79,38.65,23.09,1.557,2.88,4.67
SSP,Fortress,3.95,0.0,Communication Services,0.71,8.91,7.52,15.92,1.611,2.0,0.35
MTCH,Fortress,31.74,15.11,Communication Services,0.59,22.06,30.83,27.9,1.41,5.4,7.64
BORR,Fortress,3.99,14.25,Energy,0.44,11.36,35.44,9.66,1.626,1.7,1.22
KBH,Fortress,57.07,9.18,Consumer Cyclical,,,8.35,12.5,5.753,100.0,3.61
