Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%
CMG,Fortress,37.49,33.18,Consumer Cyclical,7.7,24.7,16.13,14.83,1.542,100.0,50.27,1.69444,43.15152,15.1
ASO,Fortress,52.15,9.59,Consumer Cyclical,3.0,14.6,7.26,11.68,1.706,15.6,3.48,2.05263,59.94737,14.95
RGLD,Fortress,221.12,30.33,Basic Materials,43.98,13.18,50.53,51.72,3.516,44.71,18.66,1.81818,253.90909,14.83
SLB,Fortress,40.2,15.64,Energy,3.12,17.12,15.48,15.21,1.387,12.08,60.06,1.43333,45.98552,14.39
PPG,Fortress,104.35,18.67,Basic Materials,3.98,14.52,14.16,11.92,1.465,8.68,23.55,2.16667,119.0,14.04
EMN,Fortress,64.34,10.74,Basic Materials,2.4,10.35,9.67,13.92,1.756,5.99,7.39,1.88235,73.35294,14.01
GGB,Fortress,3.78,14.0,Basic Materials,1.86,8.24,8.73,17.38,2.704,7.86,7.47,1.83333,4.306291,13.92
SVM,Fortress,8.34,75.82,Basic Materials,4.9,10.35,42.7,30.35,4.588,22.11,1.84,1.33333,9.5,13.91
VIPS,Fortress,17.71,9.32,Consumer Cyclical,2.97,22.32,5.91,6.66,1.297,174.17,8.73,2.17391,20.15598,13.81
PFE,Fortress,25.18,14.64,Healthcare,1.96,6.52,35.28,23.01,1.282,3.6,143.17,2.42308,28.62292,13.67
URBN,Fortress,75.34,14.24,Consumer Cyclical,4.46,14.7,9.57,7.39,1.509,83.41,6.76,2.46154,85.41667,13.37
BURL,Fortress,298.39,34.22,Consumer Cyclical,3.3,11.46,5.75,6.25,1.208,10.71,18.78,1.55556,337.7143,13.18
DE,Fortress,466.8,25.26,Industrials,2.93,12.82,12.38,20.82,2.262,2.97,126.24,2.12,528.2174,13.16
BKR,Fortress,47.14,16.26,Energy,2.25,13.65,13.52,9.78,1.409,17.49,46.52,1.82609,53.14286,12.73
CNM,Fortress,53.41,23.43,Industrials,3.56,14.37,10.67,10.21,2.265,5.06,10.54,2.06667,60.0625,12.46
EW,Fortress,85.33,37.43,Healthcare,12.71,13.57,27.37,30.42,4.004,79.19,50.1,1.93939,95.80071,12.27
DHR,Fortress,230.4,47.51,Healthcare,4.89,6.96,20.75,24.05,1.519,17.71,164.98,1.4,258.0909,12.02
VLO,Fortress,165.31,34.44,Energy,4.6,9.53,5.53,5.47,1.596,7.65,51.35,2.1,184.94444,11.88
QCOM,Fortress,172.98,34.53,Technology,6.6,32.51,26.24,28.58,2.816,20.07,186.65,2.25,193.4,11.8
HAS,Fortress,82.97,0.0,Consumer Cyclical,3.02,13.53,24.58,10.58,1.705,3.9,11.64,1.42857,92.46154,11.44
WB,Fortress,10.54,6.02,Communication Services,2.03,9.5,26.53,28.17,3.346,4.99,2.6,2.2,11.72944,11.29
ECL,Fortress,262.64,37.74,Basic Materials,5.21,16.55,14.71,13.92,1.697,8.56,74.49,2.03846,292.15,11.24
GD,Fortress,343.4,22.27,Industrials,3.97,12.96,10.46,10.4,1.4,12.55,92.76,2.17391,381.856,11.2
ZTO,Fortress,21.46,13.94,Industrials,1.87,18.75,20.27,23.15,1.378,35.55,16.89,1.55556,23.830612,11.05
NXT,Fortress,92.78,24.04,Technology,6.31,30.62,20.32,14.62,2.178,50.48,14.08,1.75,102.84615,10.85
ACN,Fortress,259.95,21.48,Technology,5.12,23.31,16.97,14.6,1.411,45.94,161.21,2.11538,287.9776,10.78
HWM,Fortress,211.71,59.3,Industrials,10.34,17.45,25.66,18.61,2.353,8.6,85.21,1.43478,233.696,10.38
CEG,Fortress,366.25,41.95,Utilities,2.7,10.9,16.33,7.58,1.563,9.92,114.42,1.76471,403.30124,10.12
SHEL,Fortress,75.44,15.4,Energy,2.33,11.89,11.35,11.33,1.352,7.16,214.93,2.16667,83.04375,10.08
ELV,Fortress,354.25,14.44,Healthcare,2.81,7.78,3.46,5.5,1.56,7.67,79.77,1.95238,389.21054,9.87
PWR,Fortress,439.68,65.14,Industrials,5.53,11.18,7.11,5.13,1.344,6.98,65.56,1.86667,476.6325,8.4
NEM,Fortress,101.22,15.74,Basic Materials,3.23,10.15,46.85,16.86,2.039,13.21,111.19,1.66667,109.495,8.18
HALO,Fortress,70.31,14.83,Healthcare,5.13,29.89,61.51,49.45,1.587,31.79,8.27,2.11111,76.0,8.09
TMO,Fortress,592.51,34.19,Healthcare,4.4,10.03,19.28,20.02,1.498,6.06,222.61,1.53846,639.3913,7.91
APH,Fortress,139.71,46.57,Technology,10.84,18.6,27.48,20.72,2.07,14.88,171.01,1.77778,150.43056,7.67
BRKR,Fortress,48.11,0.0,Healthcare,2.56,5.63,12.96,15.92,1.854,5.32,7.31,2.06667,51.78571,7.64
SEE,Fortress,41.52,15.43,Consumer Cyclical,1.86,13.86,15.96,15.63,1.288,2.59,6.11,2.5,44.45,7.06
TXT,Fortress,87.05,19.05,Industrials,2.69,8.36,9.5,6.94,1.838,10.72,15.51,2.3125,93.07667,6.92
VALE,Fortress,13.26,10.12,Basic Materials,1.56,11.95,32.32,42.18,1.237,6.08,56.74,1.88,14.14,6.64
KEYS,Fortress,206.59,41.15,Technology,5.89,12.46,15.29,20.62,2.35,12.27,35.5,1.76923,219.76923,6.38
CTSH,Fortress,81.28,18.81,Technology,7.03,18.27,15.99,15.24,2.358,55.41,39.7,2.2963,86.37083,6.26
AMRZ,Fortress,55.43,23.19,Basic Materials,2.7,10.06,21.33,16.41,1.45,7.03,30.66,1.9,58.83,6.13
IAG,Fortress,16.22,28.46,Basic Materials,3.92,20.2,35.3,7.83,1.684,374.85,9.62,2.0,17.2,6.04
CVE,Fortress,17.53,13.91,Energy,2.36,9.6,11.0,10.14,1.729,7.27,33.07,1.52941,18.585,6.02
TSEM,Fortress,121.74,68.01,Technology,20.19,7.92,12.78,14.02,6.61,54.97,13.65,1.8,129.0,5.96
WSM,Fortress,187.85,20.71,Consumer Cyclical,7.22,42.19,16.95,17.37,1.427,,22.43,2.3913,199.0,5.94
NUE,Fortress,169.4,23.76,Basic Materials,4.58,10.81,10.42,19.62,2.774,13.73,38.77,1.46667,178.61539,5.44
HAL,Fortress,29.6,19.6,Energy,3.46,18.86,12.86,15.52,1.955,8.19,25.24,1.80769,31.20833,5.43
EGO,Fortress,35.42,19.46,Basic Materials,2.38,8.4,39.69,19.59,2.794,22.64,7.15,2.2,37.2,5.03
ON,Fortress,56.7,77.67,Technology,4.85,14.89,18.5,27.98,5.231,30.49,23.19,2.23529,59.2,4.41
ADI,Fortress,273.74,60.03,Technology,6.51,6.77,30.5,27.79,2.19,9.54,134.04,1.75,285.5625,4.32
DECK,Fortress,106.79,15.41,Consumer Cyclical,13.15,44.52,22.82,20.3,3.067,354.51,15.84,2.34615,111.39857,4.32
GLW,Fortress,90.67,58.12,Technology,4.34,5.01,14.56,10.21,1.556,3.47,77.74,1.64286,94.53846,4.27
GOOG,Fortress,315.32,31.1,Communication Services,20.86,33.25,30.51,29.14,1.747,448.07,3806.49,1.46269,328.20557,4.09
MRK,Fortress,106.45,14.08,Healthcare,4.26,23.91,40.8,23.59,1.661,16.69,265.89,1.89655,110.03962,3.37
CROX,Fortress,86.95,30.19,Consumer Cyclical,3.58,25.05,20.84,26.13,1.404,9.33,4.75,2.5,89.75,3.22
NOK,Fortress,6.51,34.26,Technology,2.17,8.71,6.94,8.33,1.478,7.39,36.89,2.5,6.69625,2.86
UPS,Fortress,101.02,15.61,Industrials,3.12,15.49,10.17,11.39,1.305,9.59,85.7,2.23333,103.82759,2.78
REGN,Fortress,776.31,18.59,Healthcare,8.31,14.3,29.56,38.46,4.063,87.59,82.28,1.84615,797.2692,2.7
BIDU,Fortress,150.3,13.5,Communication Services,1.61,9.07,3.52,13.38,1.907,11.14,52.4,1.63636,154.19759,2.59
BIIB,Fortress,177.82,16.22,Healthcare,3.02,9.57,30.72,23.91,2.716,8.61,26.09,2.2,182.06897,2.39
FDX,Fortress,293.13,16.21,Industrials,2.64,8.63,7.64,6.72,1.274,7.9,69.17,2.0,300.10715,2.38
ATI,Fortress,119.2,38.45,Industrials,4.64,15.17,15.11,9.69,2.502,4.91,16.43,1.33333,121.25,1.72
B,Fortress,44.08,21.19,Basic Materials,3.74,11.18,49.01,30.18,2.944,11.89,75.37,1.68182,44.80214,1.64
LLY,Fortress,1080.36,52.62,Healthcare,10.46,26.74,48.29,32.2,1.546,17.24,968.5,1.7,1093.2229,1.19
ROST,Fortress,182.74,28.6,Consumer Cyclical,6.46,27.53,11.58,11.64,1.52,44.5,59.43,1.72222,184.875,1.17
SU,Fortress,45.59,14.16,Energy,2.06,11.24,19.35,17.96,1.348,12.8,55.5,2.09524,45.758682,0.37
CAT,Fortress,598.41,29.41,Industrials,4.85,25.02,17.75,16.96,1.384,27.12,280.34,2.17857,599.9904,0.26
FSLR,Fortress,274.34,21.04,Technology,5.91,14.38,29.23,16.04,1.91,37.18,29.44,1.63889,274.60562,0.1
AMGN,Fortress,327.64,25.34,Healthcare,1.53,11.29,34.15,28.87,1.28,2.46,176.43,2.40625,327.74075,0.03
MNST,Fortress,76.16,43.27,Consumer Defensive,28.89,29.15,30.74,27.67,3.185,100.0,74.41,2.16,76.04545,-0.15
WDC,Fortress,187.7,26.44,Technology,5.71,17.32,15.4,7.61,1.213,4.17,64.34,1.55556,187.20833,-0.26
PCAR,Fortress,111.56,21.87,Industrials,3.66,16.07,9.92,13.51,5.69,100.0,58.59,2.28571,111.208,-0.32
ARHS,Fortress,11.36,21.85,Consumer Cyclical,2.7,10.67,4.76,9.7,1.343,,1.6,2.4,11.30769,-0.46
FOXA,Fortress,73.76,16.43,Communication Services,3.56,17.07,26.32,18.62,3.238,8.6,32.75,2.10526,73.21875,-0.73
ODFL,Fortress,159.19,31.52,Industrials,19.15,31.47,25.66,27.6,1.204,7348.16,33.46,2.46154,157.54167,-1.04
INCY,Fortress,101.42,17.19,Healthcare,7.03,8.39,31.63,14.38,3.195,139.87,19.91,2.28,100.09524,-1.31
PAAS,Fortress,51.04,29.5,Basic Materials,5.73,7.36,30.05,7.2,2.313,10.07,21.54,2.0,50.0,-2.04
FCX,Fortress,51.93,36.31,Basic Materials,2.78,14.64,28.06,30.34,2.455,22.65,74.57,1.7619,50.52,-2.72
AMAT,Fortress,268.87,31.05,Technology,12.3,33.71,28.44,29.46,2.61,35.46,214.19,1.86842,261.1875,-2.86
MU,Fortress,315.42,29.95,Technology,9.37,14.2,44.97,7.06,2.46,21.24,355.01,1.58537,305.28946,-3.21
ASML,Fortress,1163.78,40.89,Technology,10.89,32.26,32.84,32.64,1.308,56.61,451.72,1.7027,1122.8448,-3.52
FIVE,Fortress,193.45,34.67,Consumer Cyclical,4.37,9.04,4.17,10.93,1.605,,10.67,2.04167,186.2381,-3.73
NYT,Fortress,69.82,34.23,Communication Services,10.1,17.26,14.95,12.51,1.524,378.01,11.37,1.77778,66.875,-4.22
SQM,Fortress,69.73,0.0,Basic Materials,3.42,12.53,24.44,36.54,2.823,6.18,19.92,2.47059,66.6875,-4.36
YETI,Fortress,44.84,23.35,Consumer Cyclical,7.14,27.07,11.14,13.6,2.163,,3.64,2.375,41.42857,-7.61
ANF,Fortress,123.74,11.92,Consumer Cyclical,5.63,35.93,12.0,9.51,1.384,64.65,5.82,2.08333,114.0,-7.87
LRCX,Fortress,185.06,40.76,Technology,16.35,41.53,34.35,30.48,2.207,34.43,233.37,1.79412,169.82759,-8.23
CGAU,Fortress,14.14,8.78,Basic Materials,4.48,8.84,34.06,13.73,2.888,160.69,2.86,2.5,11.3,-20.08
